beta,month,obs_monthly,obs_cumulative,abm_mean_monthly,abm_sd_monthly,abm_mean_cumulative,abm_sd_cumulative,sigma_used,residual_cumulative
0.03801,6,1.0,11.0,2.32,2.123147451789634,17.0,7.230886134196436,7.230886134196436,-6.0
0.03801,7,2.0,13.0,2.6,2.587252896610691,19.6,9.49543391879078,9.49543391879078,-6.600000000000001
0.03801,8,2.0,15.0,1.14,1.4287142785721427,20.74,10.277397431216897,10.277397431216897,-5.739999999999998
0.03801,9,6.0,21.0,0.34,0.745325569185462,21.08,10.395917566084117,10.395917566084117,-0.0799999999999983
0.03801,10,1.0,22.0,0.38,0.9874725519305972,21.46,10.614218419321379,10.614218419321379,0.5399999999999991
0.03801,11,1.0,23.0,0.54,1.091899673944078,22.0,10.845858797772747,10.845858797772747,1.0
0.03801,12,0.0,23.0,0.78,1.5686989279433492,22.78,11.505615310511184,11.505615310511184,0.21999999999999886
0.03801,13,2.0,25.0,0.92,1.770967681978484,23.7,12.403505100394412,12.403505100394412,1.3000000000000007
0.03801,14,1.0,26.0,0.28,0.6712765785411843,23.98,12.649901185384811,12.649901185384811,2.0199999999999996
0.03801,15,1.0,27.0,0.1,0.5802884574739978,24.08,12.753294892389373,12.753294892389373,2.9200000000000017
0.03801,16,2.0,29.0,0.2,0.7559289460184542,24.28,12.974134393681382,12.974134393681382,4.719999999999999
0.03801,17,5.0,34.0,0.28,1.0309496315810691,24.56,13.215884073217905,13.215884073217905,9.440000000000001
0.03801,18,2.0,36.0,0.38,1.1228607778930622,24.94,13.554741620855902,13.554741620855902,11.059999999999999
0.03801,19,2.0,38.0,0.58,1.5790723187223255,25.52,13.99014230208732,13.99014230208732,12.48
0.03802,1,5.0,5.0,7.04,2.258408325185086,7.04,2.258408325185086,2.258408325185086,-2.04
0.03802,2,2.0,7.0,3.08,1.9361227824111333,10.12,2.980480717287473,2.980480717287473,-3.119999999999999
0.03802,3,0.0,7.0,1.44,1.6308255077520382,11.56,3.6931265444700636,3.6931265444700636,-4.5600000000000005
0.03802,4,2.0,9.0,1.96,2.0400080031855823,13.52,4.957945591653454,4.957945591653454,-4.52
0.03802,5,1.0,10.0,2.18,2.144665903289996,15.7,6.652450829642886,6.652450829642886,-5.699999999999999
0.03802,6,1.0,11.0,2.72,2.828715725035166,18.42,8.999070246760075,8.999070246760075,-7.420000000000002
0.03802,7,2.0,13.0,3.42,3.130429976334672,21.84,11.542927863998344,11.542927863998344,-8.84
0.03802,8,2.0,15.0,1.78,1.961777619551061,23.62,12.972325330864775,12.972325330864775,-8.620000000000001
0.03802,9,6.0,21.0,0.52,0.9946797248873833,24.14,13.42250622906869,13.42250622906869,-3.1400000000000006
0.03802,10,1.0,22.0,0.66,1.271508825717522,24.8,13.978117008454351,13.978117008454351,-2.8000000000000007
0.03802,11,1.0,23.0,1.0,1.7142857142857144,25.8,14.714979179220675,14.714979179220675,-2.8000000000000007
0.03802,12,0.0,23.0,0.92,2.0686187839883368,26.72,15.82176233121033,15.82176233121033,-3.719999999999999
0.03802,13,2.0,25.0,1.18,2.2739877766081475,27.9,17.063207823398557,17.063207823398557,-2.8999999999999986
0.03802,14,1.0,26.0,0.44,0.8843307166024096,28.34,17.61679393565777,17.61679393565777,-2.34
0.03802,15,1.0,27.0,0.1,0.3642156795423417,28.44,17.719077692862978,17.719077692862978,-1.4400000000000013
0.03802,16,2.0,29.0,0.18,0.6288960200872894,28.62,17.92261141686668,17.92261141686668,0.379999999999999
0.03802,17,5.0,34.0,0.26,0.7507819053411946,28.88,18.121629876690317,18.121629876690317,5.120000000000001
0.03802,18,2.0,36.0,0.26,0.8283250865328126,29.14,18.296882750002716,18.296882750002716,6.859999999999999
0.03802,19,2.0,38.0,0.36,1.0644534862969812,29.5,18.571703294671337,18.571703294671337,8.5
0.03803,1,5.0,5.0,7.08,2.7093187636867886,7.08,2.7093187636867886,2.7093187636867886,-2.08
